Question,ModelAnswer
What is AI?,Artificial Intelligence
What is CPU?,Central Processing Unit
What does RAM stand for?,Random Access Memory
What is the full form of HTML?,HyperText Markup Language
What is an Array?,Collection of elements of same data type stored in contiguous memory
Define Algorithm.,Step by step procedure to solve a problem
What is the purpose of Compiler?,To convert high level language into machine code
What is a Data Structure?,Way of organizing and storing data efficiently
What is OOP?,Object Oriented Programming
Define Operating System.,Software that manages hardware and software resources

