Question,StudentAnswer
What is AI?,Artificial intelligence
What is CPU?,Central Processing unit
What does RAM stand for?,Random access memory
What is the full form of HTML?,Hyper Text Markup Language
What is an Array?,A data structure that stores elements in continuous memory
Define Algorithm.,Step by step process to solve a problem
What is the purpose of Compiler?,It converts high level language into machine code
What is a Data Structure?,A method to organize and store data efficiently
What is OOP?,Object oriented programming
Define Operating System.,Software which manages computer resources

